"CODALM";"CODPDT";"LOCALIZ";"SISVAL";"PVP1";"PRESTA";"PREULT";"PREMED";"CANEXI";"CODPRV";"STOCKMIN";"STOCKMAX"
"01";"6I9255";"E";"M";117,88000;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"5M7925";;"M";22,45982;0,00000;20,91522;23,07886;0,00;"3";0,00;0,00
"01";"1P3958";"E";"M";41,69221;0,00000;27,88696;0,00000;0,00;"2";0,00;0,00
"01";"3P3242";"E";"M";104,70000;0,00000;47,78046;0,00000;0,00;"3";0,00;0,00
"01";"6P6739";"E";"M";71,97721;0,00000;48,14107;0,00000;0,00;"2";0,00;0,00
"01";"5M6126";;"M";14,76000;0,00000;7,47000;11,24090;0,00;"3";0,00;0,00
"01";"1124511";"E";"M";5,95002;0,00000;2,78269;0,00000;0,00;"3";0,00;0,00
"01";"2H6489";"E";"M";109,09000;0,00000;45,96000;45,96000;0,00;"3";0,00;0,00
"01";"2H6490";"E";"M";173,90000;0,00000;78,96000;78,96000;0,00;"3";0,00;0,00
"01";"6D7690";;"M";20,28000;0,00000;14,47000;0,00000;0,00;"2";0,00;0,00
"01";"5P3723";;"M";38,89000;0,00000;27,76000;0,00000;0,00;"2";0,00;0,00
"01";"2D9457";"E";"M";134,42000;0,00000;66,40000;66,40000;0,00;"3";0,00;0,00
"01";"4F2041";"E";"M";97,66000;0,00000;0,00000;44,03000;0,00;"3";0,00;0,00
"01";"3P3743";;"M";14,94116;0,00000;9,98882;9,98882;0,00;"2";0,00;0,00
"01";"1127309";"E";"M";156,56365;0,00000;103,67459;0,00000;0,00;"2";0,00;0,00
"01";"1M8735";"E";"M";11,74979;0,00000;7,86124;0,00000;0,00;"2";0,00;0,00
"01";"1M8736";"E";"M";7,46457;0,00000;4,98840;0,00000;0,00;"2";0,00;0,00
"01";"6V7440";"E";"M";95,69916;0,00000;64,00779;64,00779;0,00;"2";0,00;0,00
"01";"6V7443";"E";"M";55,21498;0,00000;36,93219;36,93219;0,00;"2";0,00;0,00
"01";"6V7441";"E";"M";1054,57190;0,00000;705,40190;705,40190;0,00;"2";0,00;0,00
"01";"6V1140";"E";"M";137,37000;0,00000;91,07000;91,07000;0,00;"2";0,00;0,00
"01";"6V7251";"E";"M";115,77897;0,00000;77,44041;77,44041;0,00;"2";0,00;0,00
"01";"1N5410";"E";"M";28,30767;0,00000;18,93188;0,00000;0,00;"2";0,00;0,00
"01";"1082735";"E";"M";44,84151;0,00000;29,99050;0,00000;0,00;"2";0,00;0,00
"01";"7J6525";"E";"M";19,53890;0,00000;13,07201;0,00000;0,00;"2";0,00;0,00
"01";"9M2095";"E";"M";13,28237;0,00000;8,88296;0,00000;0,00;"2";0,00;0,00
"01";"1082736";"E";"M";41,78837;0,00000;27,94706;0,00000;0,00;"2";0,00;0,00
"01";"6Y5888";;"M";107,06000;0,00000;0,00000;41,73000;0,00;"3";0,00;0,00
"01";"2P9335";;"M";59,57000;0,00000;0,00000;54,99261;0,00;"2";0,00;0,00
"01";"1T0651";"E";"M";11,49000;0,00000;3,40000;3,40000;0,00;"3";0,00;0,00
"01";"1S7347";"E";"M";45,68000;0,00000;15,32000;0,00000;0,00;"3";0,00;0,00
"01";"3P3246";"E";"M";82,60911;0,00000;55,17291;0,00000;0,00;"2";0,00;0,00
"01";"3P2922";"E";"M";107,82157;0,00000;72,12145;0,00000;0,00;"2";0,00;0,00
"01";"5M3320";"07050319";"M";35,50000;0,00000;1,92000;1,92000;8,00;"3";0,00;0,00
"01";"6V7442";"E";"M";448,81180;0,00000;300,20555;300,20555;0,00;"2";0,00;0,00
"01";"5P1269";"MGASP";"M";2,09000;0,00000;1,04000;1,04000;78,00;"2";0,00;0,00
"01";"2P9355";"E";"M";0,00000;0,00000;0,00000;0,00000;0,00;"2";0,00;0,00
"01";"7V6715";"E";"M";130,19000;0,00000;69,06000;69,06000;0,00;"2";0,00;0,00
"01";"4V8675";"E";"M";57,20000;0,00000;22,37000;22,37000;0,00;"2";0,00;0,00
"01";"3F7183";"E";"M";130,50978;0,00000;87,29701;0,00000;0,00;"2";0,00;0,00
"01";"1B3934";"E";"M";57,23438;0,00000;38,01402;0,00000;0,00;"2";0,00;0,00
"01";"1852-94";"E";"M";85,93271;0,00000;45,54470;0,00000;0,00;"00001";0,00;0,00
"01";"1852-95";"E";"M";62,13864;0,00000;32,93546;32,93546;0,00;"00001";0,00;0,00
"01";"1852-96";"E";"M";69,96382;0,00000;37,08245;37,08245;0,00;"00001";0,00;0,00
